filename,subject,date_sent,job,posts,week_sent,year_sent,source
2016/6/26/1558cfcf4b7df4ce.eml,"Subject: 11 new python jobs in Chicago, IL",2016-06-26,python,11,26,2016,Indeed
2016/6/25/155877f171db6c53.eml,"Subject: 9 new Data Scientist jobs in Chicago, IL",2016-06-25,Data Scientist,9,26,2016,Indeed
2016/6/25/155877f0a6b94938.eml,"Subject: 22 new python jobs in Chicago, IL",2016-06-25,python,22,26,2016,Indeed
2016/6/24/155827fdea12196c.eml,"Subject: 5 new Data Scientist jobs in Chicago, IL",2016-06-24,Data Scientist,5,26,2016,Indeed
2016/6/24/155814130d4997ab.eml,"Subject: 30 new python jobs in Chicago, IL",2016-06-24,python,30,26,2016,Indeed
2016/6/23/1557cb6826078127.eml,"Subject: 30+ new python jobs in Chicago, IL",2016-06-23,python,30,25,2016,Indeed
2016/6/23/1557cab7b89c5715.eml,"Subject: 14 new Data Scientist jobs in Chicago, IL",2016-06-23,Data Scientist,14,25,2016,Indeed
2016/6/22/155790d388ec313c.eml,"Subject: 24 new python jobs in Chicago, IL",2016-06-22,python,24,25,2016,Indeed
2016/6/22/155790d170de1d30.eml,"Subject: 12 new Data Scientist jobs in Chicago, IL",2016-06-22,Data Scientist,12,25,2016,Indeed
2016/6/21/1557258bd72972c2.eml,"Subject: 18 new python jobs in Chicago, IL",2016-06-21,python,18,25,2016,Indeed
2016/6/21/155724e617c440cf.eml,"Subject: 7 new Data Scientist jobs in Chicago, IL",2016-06-21,Data Scientist,7,25,2016,Indeed
2016/6/20/1556d5d09c1c374a.eml,"Subject: 5 new python jobs in Chicago, IL",2016-06-20,python,5,25,2016,Indeed
2016/6/20/1556d587858475f5.eml,"Subject: 7 new Data Scientist jobs in Chicago, IL",2016-06-20,Data Scientist,7,25,2016,Indeed
2016/6/19/155682f359c2033e.eml,"Subject: 6 new python jobs in Chicago, IL",2016-06-19,python,6,25,2016,Indeed
2016/6/19/155682f355d60362.eml,"Subject: 1 new Data Scientist job in Chicago, IL",2016-06-19,Data Scientist,1,25,2016,Indeed
2016/6/18/155630c829bb4f02.eml,"Subject: 12 new Data Scientist jobs in Chicago, IL",2016-06-18,Data Scientist,12,25,2016,Indeed
2016/6/18/155630c80e17fa1e.eml,"Subject: 29 new python jobs in Chicago, IL",2016-06-18,python,29,25,2016,Indeed
2016/6/17/1555d40700adc419.eml,"Subject: 7 new Data Scientist jobs in Chicago, IL",2016-06-17,Data Scientist,7,25,2016,Indeed
2016/6/17/1555d4068727c94d.eml,"Subject: 15 new python jobs in Chicago, IL",2016-06-17,python,15,25,2016,Indeed
2016/6/16/155586c50a42efd7.eml,"Subject: 6 new Data Scientist jobs in Chicago, IL",2016-06-16,Data Scientist,6,24,2016,Indeed
2016/6/16/155586c4f2d427f4.eml,"Subject: 30+ new python jobs in Chicago, IL",2016-06-16,python,30,24,2016,Indeed
2016/6/15/15553d03ccf5c122.eml,"Subject: 16 new python jobs in Chicago, IL",2016-06-15,python,16,24,2016,Indeed
2016/6/15/15553d01453d9842.eml,"Subject: 9 new Data Scientist jobs in Chicago, IL",2016-06-15,Data Scientist,9,24,2016,Indeed
2016/6/14/1554e84a5bf7b806.eml,"Subject: 12 new Data Scientist jobs in Chicago, IL",2016-06-14,Data Scientist,12,24,2016,Indeed
2016/6/14/1554e84a04409839.eml,"Subject: 30+ new python jobs in Chicago, IL",2016-06-14,python,30,24,2016,Indeed
2016/6/13/155493114c31768b.eml,"Subject: 3 new Data Scientist jobs in Chicago, IL",2016-06-13,Data Scientist,3,24,2016,Indeed
2016/6/13/1554931105423566.eml,"Subject: 2 new python jobs in Chicago, IL",2016-06-13,python,2,24,2016,Indeed
2016/6/12/15543f862ca491be.eml,"Subject: 3 new Data Scientist jobs in Chicago, IL",2016-06-12,Data Scientist,3,24,2016,Indeed
2016/6/12/15543f85c2326650.eml,"Subject: 8 new python jobs in Chicago, IL",2016-06-12,python,8,24,2016,Indeed
2016/6/11/1553ecc50c28c44a.eml,"Subject: 28 new python jobs in Chicago, IL",2016-06-11,python,28,24,2016,Indeed
2016/6/11/1553ec98810c1056.eml,"Subject: 9 new Data Scientist jobs in Chicago, IL",2016-06-11,Data Scientist,9,24,2016,Indeed
2016/6/10/1553a0ef97ecf672.eml,"Subject: 8 new Data Scientist jobs in Chicago, IL",2016-06-10,Data Scientist,8,24,2016,Indeed
2016/6/10/1553a0ef511998e0.eml,"Subject: 28 new python jobs in Chicago, IL",2016-06-10,python,28,24,2016,Indeed
2016/6/9/15534e3353680f3d.eml,"Subject: 22 new python jobs in Chicago, IL",2016-06-09,python,22,23,2016,Indeed
2016/6/9/15534e2ff269fd5b.eml,"Subject: 8 new Data Scientist jobs in Chicago, IL",2016-06-09,Data Scientist,8,23,2016,Indeed
2016/6/8/1553034a91eca058.eml,"Subject: 3 new Data Scientist jobs in Chicago, IL",2016-06-08,Data Scientist,3,23,2016,Indeed
2016/6/8/15530349ddc535c0.eml,"Subject: 18 new python jobs in Chicago, IL",2016-06-08,python,18,23,2016,Indeed
2016/6/7/1552a8e8efc543b2.eml,"Subject: 3 new Data Scientist jobs in Chicago, IL",2016-06-07,Data Scientist,3,23,2016,Indeed
2016/6/7/1552a8e8c6839d62.eml,"Subject: 28 new python jobs in Chicago, IL",2016-06-07,python,28,23,2016,Indeed
2016/6/6/1552504697df2180.eml,"Subject: 1 new Data Scientist job in Chicago, IL",2016-06-06,Data Scientist,1,23,2016,Indeed
2016/6/6/155250466f8b2c97.eml,"Subject: 5 new python jobs in Chicago, IL",2016-06-06,python,5,23,2016,Indeed
2016/6/5/155209e4d55f9793.eml,"Subject: 5 new Data Scientist jobs in Chicago, IL",2016-06-05,Data Scientist,5,23,2016,Indeed
2016/6/5/155209e147c19c5b.eml,"Subject: 7 new python jobs in Chicago, IL",2016-06-05,python,7,23,2016,Indeed
2016/6/4/1551b61e01a545e9.eml,"Subject: 4 new Data Scientist jobs in Chicago, IL",2016-06-04,Data Scientist,4,23,2016,Indeed
2016/6/4/1551b61cdbbbd26a.eml,"Subject: 24 new python jobs in Chicago, IL",2016-06-04,python,24,23,2016,Indeed
2016/6/3/1551646c4285e253.eml,"Subject: 7 new Data Scientist jobs in Chicago, IL",2016-06-03,Data Scientist,7,23,2016,Indeed
2016/6/3/1551646c0f32ed82.eml,"Subject: 21 new python jobs in Chicago, IL",2016-06-03,python,21,23,2016,Indeed
2016/6/2/15510ee84b6f0cc0.eml,"Subject: 12 new Data Scientist jobs in Chicago, IL",2016-06-02,Data Scientist,12,22,2016,Indeed
2016/6/2/15510ee7ba64082c.eml,"Subject: 19 new python jobs in Chicago, IL",2016-06-02,python,19,22,2016,Indeed
2016/6/1/1550bd04fa26d137.eml,"Subject: 9 new python jobs in Chicago, IL",2016-06-01,python,9,22,2016,Indeed
2016/5/31/155064f6c955a266.eml,"Subject: 1 new Data Scientist job in Chicago, IL",2016-05-31,Data Scientist,1,22,2016,Indeed
2016/5/31/155064f690848e8e.eml,"Subject: 3 new python jobs in Chicago, IL",2016-05-31,python,3,22,2016,Indeed
2016/5/30/15500c79a2c33c03.eml,"Subject: 2 new Data Scientist jobs in Chicago, IL",2016-05-30,Data Scientist,2,22,2016,Indeed
2016/5/29/154fcb4ac2814fec.eml,"Subject: 3 new Data Scientist jobs in Chicago, IL",2016-05-29,Data Scientist,3,22,2016,Indeed
2016/5/29/154fcb4a6cedf990.eml,"Subject: 7 new python jobs in Chicago, IL",2016-05-29,python,7,22,2016,Indeed
2016/5/28/154f718e9000411f.eml,"Subject: 10 new Data Scientist jobs in Chicago, IL",2016-05-28,Data Scientist,10,22,2016,Indeed
2016/5/28/154f718e5f31d5e4.eml,"Subject: 20 new python jobs in Chicago, IL",2016-05-28,python,20,22,2016,Indeed
2016/4/7/153f0f39e4611df7.eml,"Subject: 29 new python opportunities in Chicago, IL",2016-04-07,python,29,14,2016,Indeed
2016/4/7/153f0f39e2988de4.eml,"Subject: 11 new Data Scientist opportunities in Chicago, IL",2016-04-07,Data Scientist,11,14,2016,Indeed
2016/4/6/153ebe33dfb067d0.eml,"Subject: 16 new Data Scientist opportunities in Chicago, IL",2016-04-06,Data Scientist,16,14,2016,Indeed
2016/4/6/153ebe33b6ae1d9f.eml,"Subject: 30+ new python opportunities in Chicago, IL",2016-04-06,python,30,14,2016,Indeed
2016/4/5/153e6dc80af3dab6.eml,"Subject: 8 new Data Scientist opportunities in Chicago, IL",2016-04-05,Data Scientist,8,14,2016,Indeed
2016/4/4/153e1b4bc8a48e01.eml,"Subject: 5 new python opportunities in Chicago, IL",2016-04-04,python,5,14,2016,Indeed
2016/4/3/153dd904bfdac18f.eml,"Subject: 11 new python opportunities in Chicago, IL",2016-04-03,python,11,14,2016,Indeed
2016/4/3/153dd904b8a73d39.eml,"Subject: 2 new Data Scientist opportunities in Chicago, IL",2016-04-03,Data Scientist,2,14,2016,Indeed
2016/4/2/153d750ddd58c406.eml,"Subject: 30+ new python opportunities in Chicago, IL",2016-04-02,python,30,14,2016,Indeed
2016/4/2/153d750dd3fa7693.eml,"Subject: 6 new Data Scientist opportunities in Chicago, IL",2016-04-02,Data Scientist,6,14,2016,Indeed
2016/4/1/153d22419488634b.eml,"Subject: 7 new Data Scientist opportunities in Chicago, IL",2016-04-01,Data Scientist,7,14,2016,Indeed
2016/3/31/153cd09fd0d43da6.eml,"Subject: 30+ new python opportunities in Chicago, IL",2016-03-31,python,30,13,2016,Indeed
2016/3/31/153cd09fc401e6f0.eml,"Subject: 13 new Data Scientist opportunities in Chicago, IL",2016-03-31,Data Scientist,13,13,2016,Indeed
2016/3/30/153c7ea69c27f202.eml,"Subject: 23 new python opportunities in Chicago, IL",2016-03-30,python,23,13,2016,Indeed
2016/3/30/153c7ea6878d0330.eml,"Subject: 12 new Data Scientist opportunities in Chicago, IL",2016-03-30,Data Scientist,12,13,2016,Indeed
2016/3/29/153c2a4575a5ccb0.eml,"Subject: 12 new Data Scientist opportunities in Chicago, IL",2016-03-29,Data Scientist,12,13,2016,Indeed
2016/3/29/153c2a4573fd950d.eml,"Subject: 21 new python opportunities in Chicago, IL",2016-03-29,python,21,13,2016,Indeed
2016/3/28/153bd694748ac7f9.eml,"Subject: 2 new Data Scientist opportunities in Chicago, IL",2016-03-28,Data Scientist,2,13,2016,Indeed
2016/3/28/153bd6946f179473.eml,"Subject: 6 new python opportunities in Chicago, IL",2016-03-28,python,6,13,2016,Indeed
2016/3/27/153b96f1d79aff97.eml,"Subject: 5 new python opportunities in Chicago, IL",2016-03-27,python,5,13,2016,Indeed
2016/3/27/153b96f1d6add262.eml,"Subject: 1 new Data Scientist opportunity in Chicago, IL",2016-03-27,Data Scientist,1,13,2016,Indeed
2016/3/26/153b34281afa3510.eml,"Subject: 13 new Data Scientist opportunities in Chicago, IL",2016-03-26,Data Scientist,13,13,2016,Indeed
2016/3/26/153b3428019042d8.eml,"Subject: 24 new python opportunities in Chicago, IL",2016-03-26,python,24,13,2016,Indeed
2016/3/25/153ae6ffda25aad8.eml,"Subject: 13 new Data Scientist opportunities in Chicago, IL",2016-03-25,Data Scientist,13,13,2016,Indeed
2016/3/25/153ae6ffc4c3e618.eml,"Subject: 30+ new python opportunities in Chicago, IL",2016-03-25,python,30,13,2016,Indeed
2016/3/24/153aa8765f62d8d7.eml,"Subject: 14 new Data Scientist opportunities in Chicago, IL",2016-03-24,Data Scientist,14,12,2016,Indeed
2016/3/24/153aa87653d9ba0e.eml,"Subject: 30+ new python opportunities in Chicago, IL",2016-03-24,python,30,12,2016,Indeed
2016/3/24/153a67953a97b897.eml,"Subject: 18 new Data Scientist opportunities in Chicago, IL",2016-03-24,Data Scientist,18,12,2016,Indeed
2016/3/22/153a09962cd7772f.eml,"Subject: 19 new Data Scientist opportunities in Chicago, IL",2016-03-22,Data Scientist,19,12,2016,Indeed
2016/3/22/153a099625a4b7c0.eml,"Subject: 28 new python opportunities in Chicago, IL",2016-03-22,python,28,12,2016,Indeed
2016/3/21/1539b12b35e476f7.eml,"Subject: 7 new python opportunities in Chicago, IL",2016-03-21,python,7,12,2016,Indeed
2016/3/21/1539b12b231c442a.eml,"Subject: 1 new Data Scientist opportunity in Chicago, IL",2016-03-21,Data Scientist,1,12,2016,Indeed
